ai_type,fintech_type
"Loans and other credit products","Instance-based Algorithms"
"Loans and other credit products","NA"
"Loans and other credit products","NA"
"Loans and other credit products","Regression Algorithms"
"Malware","Clustering Algorithms"
"Malware","Deep Learning Algorithms"
"Malware","Deep Learning Algorithms"
"Malware","Regression Algorithms"
"Malware","Decision Tree Algorithms"
"Malware","Ensemble Algorithms"
"Malware","Instance-based Algorithms"
"Malware","Instance-based Algorithms"
"Malware","Reinforcement learning"
"Market Risk","Combination of algorithms"
"Market Risk","Combination of algorithms"
"Market Risk","Regression Algorithms"
"Market Risk","Ensemble Algorithms"
"Mergers & Acquisitions","Artificial Neural Network Algorithms"
"Mergers & Acquisitions","NA"
"Mergers & Acquisitions","NA"
"Monetary policy","Genetic programming"
"Money Laundering","Clustering Algorithms"
"Money Laundering","Artificial Neural Network Algorithms"
"Money Laundering","Instance-based Algorithms"
"NA","Instance-based Algorithms"
"NA","NA"
"NA","Regression Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Bayesian Algorithms"
"Operational Risk","Bayesian Algorithms"
"Operational Risk","Bayesian Algorithms"
"Operational Risk","Clustering Algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Decision Tree Algorithms"
"Operational Risk","Artificial Neural Network Algorithms"
"Operational Risk","Combination of algorithms"
"Operational Risk","Deep Learning Algorithms"
"Operational Risk","Deep Learning Algorithms"
"Operational Risk","Ensemble Algorithms"
"Operational Risk","Ensemble Algorithms"
"Operational Risk","Regression Algorithms"
"Operational Risk","Ensemble Algorithms"
"Operational Risk","Ensemble Algorithms"
"Operational Risk","Ensemble Algorithms"
"Operational Risk","Genetic programming"
"Operational Risk","Genetic programming"
"Operational Risk","Instance-based Algorithms"
"Operational Risk","Instance-based Algorithms"
"Operational Risk","Instance-based Algorithms"
"Operational Risk","Instance-based Algorithms"
"Operational Risk","Instance-based Algorithms"
"Operational Risk","NA"
"Operational Risk","NA"
"Operational Risk","NA"
"Operational Risk","NA"
"Operational Risk","NA"
"Operational Risk","NA"
"Operational Risk","NA"
"Operational Risk","NA"
"Operational Risk","NA"
"Operational Risk","Regression Algorithms"
"Operational Risk","Regression Algorithms"
"Overall Bank Topics","Artificial Neural Network Algorithms"
"Overall Bank Topics","Artificial Neural Network Algorithms"
"Overall Bank Topics","Artificial Neural Network Algorithms"
"Overall Bank Topics","Artificial Neural Network Algorithms"
"Overall Bank Topics","Artificial Neural Network Algorithms"
"Overall Bank Topics","Bayesian Algorithms"
"Overall Bank Topics","Combination of algorithms"
"Overall Bank Topics","Decision Tree Algorithms"
"Overall Bank Topics","Deep Learning Algorithms"
"Overall Bank Topics","Artificial Neural Network Algorithms"
"Overall Bank Topics","Artificial Neural Network Algorithms"
"Overall Bank Topics","Clustering Algorithms"
"Overall Bank Topics","Combination of algorithms"
"Overall Bank Topics","Artificial Neural Network Algorithms"
"Overall Bank Topics","Artificial Neural Network Algorithms"
"Overall Bank Topics","Artificial Neural Network Algorithms"
"Overall Bank Topics","Combination of algorithms"
"Overall Bank Topics","Combination of algorithms"
"Overall Bank Topics","Combination of algorithms"
"Overall Bank Topics","Combination of algorithms"
